title,mission,magazine,letters,count_photos,id,description
Announcements,,,,3,72157659383580161,
Apollo 7 Magazine 3/M,7,3,M,46,72157658999650280,"(Color) Earth Orbit; NASA photographs; unprocessed 1800 dpi Hasselblad film scans by Johnson Space Center, circa 2005"
Apollo 7 Magazine 4/N,7,4,N,55,72157657129869694,"(Color) Earth Orbit; NASA photographs; unprocessed 1800 dpi Hasselblad film scans by Johnson Space Center, circa 2005"
Apollo 7 Magazine 7/S,7,7,S,141,72157657766227004,"(Color) Earth Orbit; NASA photographs; unprocessed 1800 dpi Hasselblad film scans by Johnson Space Center, circa 2005"
Apollo 7 Magazine 11/P,7,11,P,65,72157659453980636,"(Color) Earth Orbit; NASA photographs; unprocessed 1800 dpi Hasselblad film scans by Johnson Space Center, circa 2005"
Apollo 8 Magazine 12/D,8,12,D,171,72157659259277880,"(B&amp;W) Lunar Orbit; NASA photographs; unprocessed 1800 dpi Hasselblad film scans by Johnson Space Center, circa 2005"
Apollo 8 Magazine 13/E,8,13,E,168,72157659453355752,"(B&amp;W) Lunar Orbit, Trans-Earth Coast; NASA photographs; unprocessed 1800 dpi Hasselblad film scans by Johnson Space Center, circa 2005"
Apollo 8 Magazine 14/B,8,14,B,152,72157658985288718,"(Color) Lunar Orbit; NASA photographs; unprocessed 1800 dpi Hasselblad film scans by Johnson Space Center, circa 2005"
Apollo 8 Magazine 15/F,8,15,F,46,72157659263175978,"(Color) Trans-Earth Coast; NASA photographs; unprocessed 1800 dpi Hasselblad film scans by Johnson Space Center, circa 2005"
Apollo 8 Magazine 16/A,8,16,A,75,72157659068651638,"(Color) Trans-Lunar Coast, Lunar Orbit; NASA photographs; unprocessed 1800 dpi Hasselblad film scans by Johnson Space Center, circa 2005"
Apollo 8 Magazine 17/C,8,17,C,169,72157660075038442,"(Color) Lunar Orbit; NASA photographs; unprocessed 1800 dpi Hasselblad film scans by Johnson Space Center, circa 2005"
