location,Weeks,deaths avg,deaths 2020,delta,comsum last,excess,population,excess per population,deaths avg per population
Austria,49,76031.0,82601.0,6570.0,6570.0,0.08641212137154582,9006400.0,0.0007294812577722508,0.008441885770119027
Belgium,49,102457.6,117229.0,14771.399999999994,14771.4,0.14417085701792734,11589616.0,0.0012745374825188335,0.008840465464947243
Bulgaria,49,101694.2,111471.0,9776.800000000003,9776.8,0.09613920951244027,6948445.0,0.0014070486274267125,0.014635533561825703
Canada,34,179878.0,190730.0,10852.0,10852.0,0.06032977907248246,37742157.0,0.0002875299363520744,0.004765970318018655
Chile,49,100723.25,118438.0,17714.75,17714.75,0.175875480586657,19116209.0,0.00092668739915953,0.00526899711129963
Croatia,44,44459.40000000001,43615.0,-844.4000000000087,-844.4,-0.01899260898707604,4105268.0,-0.00020568693688207657,0.010829841072495147
Czechia,45,95765.79999999999,104481.0,8715.200000000012,8715.2,0.09100534846469212,10708982.0,0.0008138215191696104,0.008942568023739323
Denmark,50,51282.6,51704.0,421.40000000000146,421.4,0.008217212075830817,5792203.0,7.275297499069033e-05,0.008853729746695687
England & Wales,50,511548.6,579505.0,67956.40000000002,67956.4,0.1328444648269979,,,
Estonia,50,14779.2,15100.0,320.7999999999993,320.8,0.021706181660712302,1326539.0,0.00024183231702950254,0.011141172630431522
Finland,47,48132.80000000001,49333.0,1200.1999999999898,1200.2,0.024935179337166952,5540718.0,0.00021661452540988187,0.008687105173011874
France,48,540203.3999999999,591865.0,51661.60000000009,51661.6,0.09563360763741972,65273512.0,0.0007914634653027417,0.008275997160992346
Germany,47,838136.0,855309.0,17173.0,17173.0,0.02048951482814245,83783945.0,0.00020496767011866056,0.010003539460931328
Greece,44,102356.75,106322.0,3965.25,3965.25,0.03873950667640385,10423056.0,0.0003804306529678052,0.009820224509970972
Hungary,47,116881.99999999999,119016.0,2134.0000000000146,2134.0,0.01825773001830919,9660350.0,0.00022090296935411394,0.012099147546413948
Iceland,44,1897.6000000000001,1921.0,23.399999999999864,23.4,0.012331365935918983,341250.0,6.857142857142817e-05,0.005560732600732601
Israel,47,39861.399999999994,43433.0,3571.600000000006,3571.6,0.08960046561335042,8655541.0,0.00041263740764442173,0.004605304278496283
Italy,40,495344.89999999997,538130.0,42785.100000000035,42785.1,0.086374362590591,60461828.0,0.0007076382143126741,0.00819268812051134
Latvia,50,27200.2,26660.0,-540.2000000000007,-540.2,-0.019860148087146444,1886202.0,-0.00028639562464677733,0.014420618788443655
Lithuania,49,37673.6,38665.0,991.4000000000015,991.4,0.02631551006540393,2722291.0,0.0003641785540193908,0.013838931987799981
Luxembourg,44,3498.4,3630.0,131.5999999999999,131.6,0.037617196432654904,625976.0,0.0002102317021738851,0.005588712666300306
Netherlands,50,143843.4,159156.0,15312.600000000006,15312.6,0.10645326792887269,17134873.0,0.0008936512106042458,0.008394774796404969
New Zealand,49,30918.6,30535.0,-383.59999999999854,-383.6,-0.012406771328585336,4822233.0,-7.954820930469318e-05,0.006411676913993994
Northern Ireland,49,14766.800000000001,16417.0,1650.199999999999,1650.2,0.11175068396673611,,,
Norway,47,36427.000000000015,36185.0,-242.00000000001455,-242.0,-0.006643423833969706,5421242.0,-4.4639217360157424e-05,0.0067193089701585015
Poland,44,338134.80000000005,363327.0,25192.199999999953,25192.2,0.07450342289524754,37846605.0,0.0006656396260642125,0.008934349593576493
Portugal,49,103139.40000000001,113413.0,10273.599999999991,10273.6,0.09960887885715827,10196707.0,0.0010075409639602267,0.010114971431463119
Scotland,50,55295.8,61126.0,5830.199999999997,5830.2,0.10543657927003491,,,
Slovakia,42,43173.2,43193.0,19.80000000000291,19.8,0.0004586178462565414,5459643.0,3.6266107509232583e-06,0.007907696528875605
Slovenia,47,18156.399999999998,19770.0,1613.6000000000022,1613.6,0.08887224339626812,2078932.0,0.0007761677630629583,0.00873352278958619
South Korea,40,218496.40000000002,229661.0,11164.599999999977,11164.6,0.05109740938523461,51269183.0,0.00021776434393346928,0.004261749207121167
Spain,48,382508.80000000005,453502.0,70993.19999999995,70993.2,0.18559886726789016,46754783.0,0.0015184157736332549,0.008181169400358462
Sweden,48,81423.4,85567.0,4143.600000000006,4143.6,0.05088954772215366,10099270.0,0.0004102870801552989,0.008062305493367342
Switzerland,49,62565.6,67447.0,4881.4000000000015,4881.4,0.07802050967304719,8654618.0,0.0005640225830880116,0.007229157890042056
Taiwan,39,129384.20000000001,129227.0,-157.20000000001164,-157.2,-0.0012149860647591563,23816775.0,-6.600389851271284e-06,0.0054324819376258965
United Kingdom,0,0.0,0.0,0.0,,,67886004.0,0.0,0.0
United States,46,2446576.0000000005,2836704.0,390127.99999999953,390128.0,0.15945877013426088,331002647.0,0.0011786250156482873,0.00739140916900281
